Column1,Column2,Column3,Column4,Column6
ASN00002033,-178000,1283000,-9999,TURNER RIVER                  
ASN00002034,-184500,1279500,-9999,ELVIRE                        
ASN00002035,-171500,1277500,-9999,GREENVALE                     
ASN00002036,-173922,1262306,2800,OLD MORNINGTON HOMESTEAD      
ASN00002037,-173000,1280000,-9999,VIOLET VALLEY                 
ASN00002038,-157828,1287353,470,KUNUNURRA                     
ASN00002039,-176667,1260333,-9999,DIMOND GORGE                  
ASN00002040,-180333,1279833,-9999,SAUNDERS CREEK                
ASN00002041,-173850,1289231,1700,ORD RIVER REGENERATION STATION
ASN00002042,-173594,1261086,2400,GLENROY                       
ASN00002043,-183368,1261243,1600,MOUNT KRAUSS                  
ASN00002044,-161119,1287414,1630,LAKE ARGYLE RESORT            
ASN00002046,-169500,1281000,-9999,ADA VALE                      
ASN00002047,-172631,1274617,5300,BEDFORD DOWNS                 
ASN00002048,-182972,1284419,3800,FLORA VALLEY                  
ASN00002049,-181947,1278147,4000,SOPHIE DOWNS                  
ASN00002050,-177842,1276853,4200,SPRINGVALE                    
ASN00002051,-195561,1276644,3050,BILLILUNA                     
ASN00002052,-158367,1287397,400,TROPICAL FARM - ORD RIVER     
ASN00002053,-176133,1267442,4000,LANSDOWNE                     
ASN00002055,-191000,1285333,-9999,LEWIS CREEK                   
ASN00002056,-157814,1287100,440,KUNUNURRA AERO                
ASN00002057,-174206,1282992,3200,BUNGLE BUNGLE NATIONAL PARK   
ASN00002058,-183500,1284833,-9999,EUROTO                        
ASN00002059,-184333,1277500,-9999,RUBY CREEK GOLDMINE           
ASN00002060,-160397,1284150,690,KINGSTON REST                 
ASN00002061,-192353,1277692,3540,CARRANYA STATION              
ASN00002062,-184236,1280314,3100,FOX RIVER                     
ASN00002063,-198761,1284581,4700,LARRANGANNI                   
ASN00002064,-166381,1284517,1640,ARGYLE AERODROME              
ASN00002065,-173936,1262281,2800,MORNINGTON                    
ASN00002066,-191764,1276497,3500,CARRANYA 2                    
ASN00002067,-159816,1289991,800,KUNUNURRA CHECKPOINT          
ASN00002069,-164433,1277836,2700,KACHANA                       
ASN00002070,-168828,1261267,4160,PHILLIPS RANGE                
ASN00002071,-182303,1276625,4220,HALLS CREEK COMPARISON        
ASN00002075,-190378,1260931,1900,BULKA                         
ASN00003000,-169806,1226667,90,BEAGLE BAY                    
ASN00003001,-172767,1225711,1530,COUNTRY DOWNS                 
ASN00003002,-179500,1222500,190,BROOME POST OFFICE            
ASN00003003,-179475,1222353,74,BROOME AIRPORT                
ASN00003004,-163961,1229278,250,CAPE LEVEQUE                  
ASN00003005,-175731,1250650,1200,FAIRFIELD STATION             
ASN00003006,-181919,1255644,1140,FITZROY CROSSING COMP.        
ASN00003007,-173044,1236292,80,DERBY POST OFFICE             
ASN00003008,-179281,1248108,1200,ELLENDALE                     
ASN00003009,-183550,1253033,1000,JUBILEE DOWNS                 
ASN00003010,-173897,1243578,900,KIMBERLEY DOWNS               
ASN00003011,-177535,1253807,2200,LEOPOLD DOWNS                 
ASN00003012,-180483,1241728,600,LIVERINGA UPPER               
ASN00003013,-181450,1240275,800,LULUIGUI                      
ASN00003014,-182914,1255869,1500,GOGO STATION                  
ASN00003015,-173681,1239956,750,MEDA                          
ASN00003016,-180358,1239286,400,MOUNT ANDERSON                
ASN00003017,-170522,1257047,2700,MOUNT HOUSE STATION           
ASN00003018,-181219,1242692,600,MYROODAH                      
ASN00003019,-173306,1248167,800,NAPIER DOWNS                  
ASN00003020,-185000,1243992,950,NERRIMA                       
ASN00003021,-184875,1248231,700,NOONKANBAH                    
ASN00003022,-183817,1252267,1000,QUANBUN DOWNS                 
ASN00003023,-179311,1224725,150,ROEBUCK PLAINS                
ASN00003024,-179464,1237383,200,UDIALLA                       
ASN00003025,-160900,1235942,130,COCKATOO ISLAND               
ASN00003026,-176153,1236483,50,YEEDA                         
ASN00003027,-181386,1257764,1200,FOSSIL DOWNS                  
ASN00003028,-192536,1214861,100,ANNA PLAINS                   
ASN00003029,-187983,1217125,90,FRAZIER DOWNS                 
ASN00003030,-186844,1217803,110,BIDYADANGA                    
ASN00003031,-165167,1228908,200,LOMBADINA MISSION             
ASN00003032,-173706,1236611,62,DERBY AERO                    
